ppid,status,name,brand,stars,reviews,questions,answers,love,price,size,category,countries,stars1,stars2,stars3,stars4,stars5,discontinued
P122635,full,Clinique Happy for Men,Clinique,4.9155,71,1,0,1200,49,1.7 oz/ 50 mL,Fragrance:Men:Cologne,JP:KR:NL:GB:DE:NO,0,0,0,6,65,FALSE
P122641,partial,Clinique Happy,Clinique,4.4925,601,13,30,11884,51,1.7 oz/ 50 mL,Fragrance:Women:Perfume,JP:KR:NL:GB:DE:NO,17,20,32,113,419,FALSE
P122643,full,Clinique Happy Heart,Clinique,4.6545,191,7,42,4072,50,1.7 oz/ 50 mL,Fragrance:Women:Perfume,JP:KR:NL:GB:DE:NO,2,6,10,20,153,FALSE
P122644,full,Antiperspirant-Deodorant Stick,Clinique,4.3103,29,5,8,575,15,2.25 oz,Bath & Body:Body Care:Deodorant & Antiperspirant,JP:KR:NL:GB:DE:CA:NO,3,1,1,3,21,FALSE
P122646,full,Facial Soap with Dish,Clinique,4.431,355,11,73,3622,14,5.2 oz/ 147 g,Skincare:Cleansers:Face Wash & Cleansers,JP:KR:NL:GB:DE:NO,18,12,22,50,253,FALSE
P122650,full,Repairwear Intensive Night Cream,Clinique,,,,,,,,,,0,0,0,0,0,TRUE
P122651,full,Clarifying Lotion 1,Clinique,4.559,161,11,52,3795,14.5,6.7 oz/ 200 mL,Skincare:Cleansers:Toners,JP:KR:NL:GB:DE:NO,5,3,8,26,119,FALSE
P122654,full,Deep Comfort Body Butter,Clinique,4.7816,206,9,21,4905,39.5,6.7 oz/ 200 mL,Bath & Body:Body Moisturizers:Body Lotions & Body Oils,JP:KR:NL:GB:DE:NO,1,2,5,25,173,FALSE
P122661,partial,7 Day Scrub Cream Rinse-Off Formula,Clinique,4.5714,714,28,166,10325,21,3.4 oz/ 100 mL,Skincare:Cleansers:Exfoliators,JP:KR:NL:GB:DE:NO,15,20,28,130,521,FALSE
P122663,full,Mild Clarifying Lotion,Clinique,,,,,,,,,,0,0,0,0,0,TRUE
P122665,full,Face Scrub,Clinique,4.7172,145,2,12,2353,21,3.4 oz/ 100 mL,Men:Skincare:Face Wash,JP:KR:NL:GB:DE:NO,2,0,5,23,115,FALSE
P122668,partial,Blended Face Powder and Brush,Clinique,4.3934,544,96,115,9537,25,,Makeup:Face:Setting Spray & Powder,JP:KR:NL:GB:DE:CA:NO,11,22,40,140,331,FALSE
P122670,partial,Naturally Glossy Mascara,Clinique,4.3915,636,11,85,7058,17.5,0.2 oz/ 6 mL,Makeup:Eye:Mascara,JP:KR:NL:GB:DE:NO,29,27,36,118,426,FALSE
P122675,full,Naturally Gentle Eye Makeup Remover,Clinique,4.4107,224,6,22,3095,19,2.5 oz/ 75 mL,Makeup:Accessories:Makeup Removers,JP:KR:NL:GB:DE:NO,11,10,14,30,159,FALSE
P122682,full,Aloe Shave Gel,Clinique,4.7143,35,2,3,757,17,4.2 oz/ 125 mL,Men:Shaving:Shaving,JP:KR:NL:GB:DE:NO,1,1,0,3,30,FALSE
P122683,full,Oil Control Mattifying Moisturizer,Clinique,4.3421,38,5,10,1231,27,3.4 oz/ 100 mL,Men:Skincare:Moisturizer & Treatments,JP:KR:NL:GB:DE:NO,2,2,1,9,24,FALSE
P122684,full,Advanced Concealer,Clinique,3.9922,256,11,21,5343,18.5,,Makeup:Face:Concealer,JP:KR:NL:GB:DE:CA:NO,20,21,34,47,134,FALSE
P122685,partial,Long Last Soft Shine Lipstick,Clinique,4.2937,555,41,68,9159,17,,Makeup:Lip:Lipstick,JP:KR:NL:GB:DE:CA:NO,19,21,62,129,324,FALSE
P122690,full,Long Last Soft Matte Lipstick,Clinique,4.1595,232,9,17,14308,17,0.14 oz/ 4.2 g,Makeup:Lip:Lipstick,JP:KR:NL:GB:DE:NO,10,14,25,63,120,FALSE
